no;date;temp;light;comment
307;04.24.19 08:30:01AM;15,187;96,9;
308;04.24.19 08:36:48AM;;;
309;04.24.19 08:36:49AM;;;
310;04.24.19 08:37:43AM;;;Protokolliert
311;04.24.19 10:30:01AM;15,569;10,8;
312;04.24.19 12:30:01PM;15,76;21,5;
313;04.24.19 02:30:01PM;15,855;10,8;
314;04.24.19 04:30:01PM;15,855;0;
315;04.24.19 06:30:01PM;15,664;0;
316;04.24.19 08:03:44PM;;;
317;04.24.19 08:03:52PM;;;
318;04.24.19 08:04:08PM;;;
319;04.24.19 08:06:05PM;;;Protokolliert
320;04.24.19 08:30:01PM;15,664;10,8;
321;04.24.19 10:30:01PM;15,569;0;
322;04.25.19 12:30:01AM;15,473;0;
323;04.25.19 02:30:01AM;15,473;0;
324;04.25.19 04:30:01AM;15,378;0;
325;04.25.19 06:30:01AM;15,378;21,5;
326;04.25.19 08:30:01AM;15,378;139,9;
327;04.25.19 10:30:01AM;15,569;699,7;
328;04.25.19 12:30:01PM;16,046;150,7;
329;04.25.19 02:24:27PM;;;
330;04.25.19 02:24:28PM;;;
331;04.25.19 02:24:49PM;;;Protokolliert
332;04.25.19 02:30:01PM;16,427;21,5;
333;04.25.19 04:30:01PM;16,046;0;
334;04.25.19 06:30:01PM;16,046;0;
335;04.25.19 08:30:01PM;16,046;0;
336;04.25.19 10:30:01PM;15,855;0;
337;04.26.19 12:30:01AM;15,855;0;
338;04.26.19 02:30:01AM;15,76;0;
339;04.26.19 04:30:01AM;15,664;0;
340;04.26.19 06:30:01AM;15,664;0;
341;04.26.19 08:24:58AM;;;
342;04.26.19 08:25:06AM;;;
343;04.26.19 08:25:15AM;;;
344;04.26.19 08:25:57AM;;;Protokolliert
345;04.26.19 08:30:01AM;16,046;0;
346;04.26.19 10:30:01AM;15,76;32,3;
347;04.26.19 12:30:01PM;15,951;10,8;
348;04.26.19 02:30:01PM;15,951;0;
349;04.26.19 04:30:01PM;15,951;10,8;
350;04.26.19 06:30:01PM;15,855;0;
351;04.26.19 07:53:17PM;;;
352;04.26.19 07:53:31PM;;;
353;04.26.19 07:53:36PM;;;
354;04.26.19 07:54:10PM;;;Protokolliert
355;04.26.19 08:30:01PM;15,855;0;
356;04.26.19 10:30:01PM;15,76;0;
357;04.27.19 12:30:01AM;15,664;0;
358;04.27.19 02:30:01AM;15,664;0;
359;04.27.19 04:30:01AM;15,569;0;
360;04.27.19 06:30:01AM;15,569;0;
361;04.27.19 08:19:42AM;;;
362;04.27.19 08:20:16AM;;;Protokolliert
363;04.27.19 08:30:01AM;15,664;10,8;
364;04.27.19 10:30:01AM;15,664;75,3;
365;04.27.19 12:30:01PM;15,855;21,5;
366;04.27.19 02:30:01PM;15,664;10,8;
367;04.27.19 04:30:01PM;15,855;10,8;
368;04.27.19 06:01:34PM;;;
369;04.27.19 06:02:13PM;;;Protokolliert
370;04.27.19 06:30:01PM;16,046;0;
371;04.27.19 08:30:01PM;15,951;0;
372;04.27.19 10:30:01PM;15,951;0;
373;04.28.19 12:30:01AM;15,855;0;
374;04.28.19 02:30:01AM;15,76;0;
375;04.28.19 04:30:01AM;15,664;0;
376;04.28.19 06:30:01AM;15,664;0;
377;04.28.19 08:18:26AM;;;
378;04.28.19 08:18:27AM;;;
379;04.28.19 08:18:46AM;;;Protokolliert
380;04.28.19 08:30:01AM;15,473;0;
381;04.28.19 10:30:01AM;15,569;10,8;
382;04.28.19 12:30:01PM;15,76;21,5;
383;04.28.19 02:30:01PM;15,855;10,8;
384;04.28.19 04:30:01PM;15,855;0;
385;04.28.19 06:30:01PM;15,855;0;
386;04.28.19 07:43:04PM;;;
387;04.28.19 07:43:28PM;;;Protokolliert
388;04.28.19 08:30:01PM;15,76;0;
389;04.28.19 10:30:01PM;15,664;0;
390;04.29.19 12:30:01AM;15,664;0;
391;04.29.19 02:30:01AM;15,664;0;
392;04.29.19 04:30:01AM;15,664;0;
393;04.29.19 06:30:01AM;15,664;0;
394;04.29.19 07:57:23AM;;;
395;04.29.19 07:57:47AM;;;Protokolliert
396;04.29.19 08:30:01AM;15,569;0;
397;04.29.19 10:30:01AM;15,569;0;
398;04.29.19 12:30:01PM;15,76;21,5;
399;04.29.19 02:30:01PM;15,855;10,8;
